keyType;keyHASH;anchorURL;anchorHASH;contentHASH;httpCode;hashMatches;validJSON;validJSONLD;extraInfo
keyHash;0aac2b584fd86fd084e2739f8e450ca5b5278a7b0ff725f966fa6ac0;https://x.com/fresh_pp;f5dcf441bc6b2204b9548f5e8af1cc305ef612e1cfd02f1ce3d152159e2fe49d;;200;;NO;;not a valid JSON format
keyHash;0ab0ab2ed4ccb82439a54f4afbcca133debc3235fa6451f21dadb247;-;-;;;;;;
keyHash;0c00b9ef2f1e97b17f0e96bee6d24d2daf3ba277b67222ab354e1757;-;-;;;;;;
keyHash;0c48927e378644f28ac2a2654ece9cffee11b4d714560569214fea15;https://raw.githubusercontent.com/tindoantrong/tavn/refs/heads/main/TAVN_2.jsonld;7b6864ddd8edd1a85b17ea8ee525f014fdf998e477ec12802729719b99808530;7b6864ddd8edd1a85b17ea8ee525f014fdf998e477ec12802729719b99808530;200;YES;YES;NO;Error: unknown hashAlgorithm [object Object]
keyHash;0cbfb521ec1e8b978a7898177fad339923ddada38d6b216727cdd9f7;https://tinyurl.com/KurdDrep;44f50650b4d47707886832467eabc9fd01eb28c56b15434b32ca0e6c9e782ab5;44f50650b4d47707886832467eabc9fd01eb28c56b15434b32ca0e6c9e782ab5;200;YES;YES;YES;missing authors field
keyHash;0d9eb7b6f88458cd4b99593009e93742467bebcfead29de7ee52bff9;https://nedscave.io/NEDSCAVE.IO.jsonld;7d03736727306855c1c8346ce617c2b5f33fc67bd2f7756ed70d0128d189357b;7d03736727306855c1c8346ce617c2b5f33fc67bd2f7756ed70d0128d189357b;200;YES;YES;NO;Error: unknown hashAlgorithm [object Object]
keyHash;0dcd28a92885b78f49d9f6a1ae71023e85c16c4998bf4e5a3dcdb687;https://harborstakepool.com/wp-content/uploads/DanShipps_Harbor.jsonld;a727793456eecefe981b8394555a019589dfe66372d6819e75543d713c3f8b23;a727793456eecefe981b8394555a019589dfe66372d6819e75543d713c3f8b23;200;YES;YES;YES;no authors in the authors-array
keyHash;0dd84c5b1e5801f4ac86030254c9a8c0bb8ac1d0c7a1092b57f1e9c3;https://raw.githubusercontent.com/goofycrisp/Public/main/Goofycrisp.jsonld;2e47a846eab8bc68473e4587eaf43609da94d8dd63d439adf8fde3d24a2ae997;2e47a846eab8bc68473e4587eaf43609da94d8dd63d439adf8fde3d24a2ae997;200;YES;YES;YES;no authors in the authors-array
keyHash;0df30c05e1fdd6d65e949328445ef96b42935626890ed2b5c782f21a;-;-;;;;;;
keyHash;0ec943dc5e7c2f308d39322a2d12c934fac5b2926e76c67e84b2c8d1;https://most-brass-sun.quicknode-ipfs.com/ipfs/QmTSd4ptbxN5oZrzLwi1UFhA4VhXm1jG1bimZ1fY6VHKeP;a2c3ee24698585574882160a0296a463ad2dfd0d937146cb40f35a10d095aef2;a2c3ee24698585574882160a0296a463ad2dfd0d937146cb40f35a10d095aef2;200;YES;YES;NO;Error: unknown hashAlgorithm [object Object]
